제목,날짜,분류,본문,반응수
"美, 헝가리 비자 면제 제한…'스웨덴 나토가입 저지' 보복?",20230801,세계,"빅토르 오르반 헝가리 총리[EPA 연합뉴스 자료 사진. 재판매 및 DB 금지]  미국 정부가 헝가리에 대한 비자 면제 프로그램에 전격 제한 조치를 발표했다.    1일(현지시간) 정치전문매체 폴리티코에 따르면, 2011~2020년 발행된 헝가리 여권의 경우 전자여행허가제(ESTA) 적용에 제한을 받는다.    미국은 ESTA 적용을 받는 한국을 포함해 40개국 국민의 경우, 90일 한도 내에서 무비자 입국을 허용하고 있다.    그러나 이날부터 해당 기간 발급된 여권을 보유한 헝가리 국민은 ESTA 유효 기간이 2년에서 1년으로 줄고, 1회에 한해서만 효력을 인정받게 된다.    이 같은 조치는 ESTA 참여 40개국 가운데 헝가리가 유일하다고 폴리티코는 지적했다.    헝가리는 2010년 극우 성향의 빅토르 오르반 총리 집권 이후 루마니아와 슬로바키아, 우크라이나 등 해외에 거주 중인 헝가리 출신자에 대해 무분별한 복수 국적을 허용해 논란이 이어지고 있다.    미국 정부는 철저한 검증없이 여권을 발급하다 보니 수십만명에 해당하는 신원이 불분명한 사람들이 헝가리 여권을 이용하고 있다면서, 이것이 결과적으로 안보 취약점으로 작용하고 있다는 우려를 지속적으로 표하는 상황이다.    헝가리 정부는 그러나 ""국경 너머에 있는 헝가리인들의 이중국적을 취소하지 않을 것""이라며 ""미국 정부가 헝가리에 보복을 하고 있는 것""이라고 반발했다.    북대서양조약기구(NATO·나토) 회원국인 헝가리는 터키와 함께 스웨덴의 나토 가입을 인준하지 않고 있다.    러시아의 우크라이나 침공 이후에는 옛 고위 관료들을 중심으로 러시아에 동조하는 움직임도 만만치 않다.    성소수자 차별법 등 논란이 되는 법을 잇달아 시행, 유럽 내부에서 고립 역시 심화하는 분위기다.",3
"美, '위구르 강제노동' 이유로 中 기업 2곳 제재",20230801,세계,"위구르 강제노동 금지법 블랙리스트에 추가    애플 본사 앞서 위구르 강제노동 사용 중단 촉구하는 시위[APF 연합뉴스 자료사진. 재판매 및 DB 금지]  미국 정부가 위구르족 강제노동을 이유로 중국 기업 2곳을 제재 대상에 추가했다.    국토안보부가 의장을 맡고 있는 강제노동집행 태스크포스(TF)는 '위구르 강제노동 금지법(UFLPA)'에 따라 이같이 결정했다고 안보부가 1일(현지시간) 성명을 통해 발표했다.    제재 대상 기업은 캐멀 그룹, 천광바이오테크그룹 및 자회사 등 2곳이다. 후베이(湖北)성 소재 캐멀 그룹은 세계 최대 납축전지 생산업체이며 허베이(河北)성 소재 청광 바이오테크는 농산물에서 식물성 추출물, 식품 첨가물 등을 생산하는 업체라고 국토안보부는 밝혔다.    이들 기업의 제품은 2일부터 미국내 수입이 금지된다.    알레한드로 마요르카스 국토안보부 장관은 성명에서 ""오늘 조치는 심각한 인권침해와 강제노동 관행에 대해 조직에 책임을 묻겠다는 바이든 정부의 약속을 보여준다""면서 ""우리는 신장에서 강제노동으로 만들어진 제품이 미국 상거래에서 제외되도록 모든 파트너와 협력할 것""이라고 말했다.    UFLPA는 강제노동의 산물로 의심되는 중국 신장(新疆) 지역 제품의 수입을 금지하는 것이 골자다.    이 법에 따라 신장 지역에서 만들어진 제품은 강제노동으로 생산되지 않았다는 판단이 있거나 블랙리스트에 오르지 않았을 경우에만 미국 수입이 가능하다. 이번에 추가된 기업까지 포함해 모두 24개 기업이 이 법에 따른 블랙리스트에 올라와 있다.    미국 관세국경보호국(CBP)은 지난해 6월 법이 시행된 이후 모두 16억4천만 달러 규모의 화물 4천600여건을 검사했다고 안보부는 밝혔다.    앞서 홍콩 사우스차이나모닝포스트(SCMP)는 지난 3월 중국 해관총서(세관)의 자료를 인용해 올 2월 신장산 제품의 대미 수출액이 49만7천440달러(약 6억5천만원)로, UFLPA가 시행되기 전인 전년 동월보다 거의 90% 정도 줄어들었다고 보도한 바 있다.",1
"뉴욕증시, 8월 첫거래일 혼조세로 출발",20230801,경제,"윤영숙 연합 뉴욕증시는 8월 첫 거래일을 맞아 혼조세로 장을 출발했다.    1일(미 동부시간) 뉴욕증권거래소(NYSE)에서 오전 10시 25분 현재 다우존스30산업평균지수는 전장보다 13.27포인트(0.04%) 오른 35,572.80을 기록 중이다.    스탠더드앤드푸어스(S&P)500지수는 전장보다 18.60포인트(0.41%) 하락한 4,570.36을, 나스닥지수는 전장보다 106.65포인트(0.74%) 떨어진 14,239.37을 나타냈다.    S&P500지수와 나스닥지수는 지난달까지 5개월 연속 올라 차익 실현 압박이 커진 상황이다.    8월은 통상 여름휴가 시즌으로 거래량이 줄어드는 데다 역사적으로 주식 성과가 가장 부진한 달 중 하나였다.    그러나 연방준비제도(연준·Fed)의 금리 인상이 막바지에 이르렀다는 전망과 인플레이션의 빠른 둔화, 경제 지표 개선 등으로 당분간 이러한 흐름이 이어질 것이라는 기대는 강화되고 있다.    앞서 씨티그룹에 이어 오펜하이머도 S&P500지수의 연말 전망치를 4,900으로 상향했다. 4,900은 월가에서도 가장 높은 수준이다. 씨티그룹은 지난달 말 연말 목표치를 4,600으로 올린 바 있다.    이러한 전망치 상향은 최근 발표되는 지표에 이어 기업들의 실적도 예상치를 대체로 웃돌면서 연착륙에 대한 기대가 커졌기 때문이다.    지금까지 S&P500지수 내 절반 이상의 기업들이 2분기 실적을 발표한 가운데, 이 중 82%가 예상치를 웃도는 주당순이익(EPS)을 내놨다.    다만 분기 EPS는 지난해 같은 기간보다 7.1% 줄어 3개 분기 연속 순이익이 감소했을 것으로 추정된다.    연준의 추가 긴축에 대한 우려는 남아 있지만, 앞으로의 금리 인상 여부는 고용 시장의 둔화 속도에 달려있다는 점에서 고용 지표에 대한 시장의 민감도는 더 커질 전망이다.    이번 주에는 노동부의 비농업 고용 보고서가 나올 예정이다. 이번 고용 보고서는 9월 연방공개시장위원회(FOMC) 정례회의 이전에 나올 2개의 고용 보고서 중 첫 번째다.    시장에서는 월간 고용이 20만명 증가할 것으로 예상해 전달의 20만9천명과 비슷한 수준을 보일 것으로 예상하고 있다.    시간당 임금은 지난해 같은 기간보다 4.2% 올라 전달의 4.35% 상승보다 둔화했을 것으로 예상했다. 임금 상승률과 고용 증가세가 예상보다 빠르게 둔화하면 연준의 금리 인상 종결 기대는 커질 것으로 예상된다.    이날 발표된 6월 채용 공고가 958만건으로 전달의 961만건보다 줄어들긴했으나 여전히 높은 수준을 보였다. 노동시장의 자신감을 보여주는 자발적 퇴직자 수는 377만건으로 전월보다 29만5천건 감소해 400만건 이하로 떨어졌다.    제조업 지표는 여전히 부진했다.    ISM이 발표한 7월 제조업 구매관리자지수(PMI)는 46.4를 기록해 전달의 46.0보다는 소폭 올랐으나 시장의 예상치인 46.8보다는 부진했다. 지수는 50을 9개월 연속 밑돌고 있다.    S&P글로벌이 집계한 7월 제조업 PMI는 49를 기록해 전월의 46.3보다는 개선됐으나 여전히 50을 밑돌았다. 시장의 예상치에는 부합했다.    S&P500지수 내 11개 업종 중에서 산업을 제외한 10개 업종이 모두 하락 중이다.    우버는 순이익 전환에 성공했으나 매출이 예상치를 밑돌았다는 소식에 주가는 3% 이상 하락 중이다.    화이자의 주가는 코로나19 매출이 크게 줄어 매출이 예상치를 밑돌았으나 순이익은 예상치를 웃돌면서 주가는 0.8%가량 올랐다.    캐터필러는 건설 장비에 대한 수요 증가로 매출과 순이익이 예상치를 웃돌았다는 소식에 주가는 6% 이상 오르고 있다.    제트블루의 주가는 실적이 대체로 예상치에 부합했음에도 올해 실적이 당초 예상보다 부진할 수 있다는 경고에 6% 이상 하락했다.    뉴욕증시 전문가들은 현재 경제 환경이 시장에 이상적이라고 말했다.    SPI에셋 매니지먼트의 스티븐 이네스 매니징 파트너는 마켓워치에 ""인플레이션 둔화, 연준의 긴축 중단, 성장 개선 등 현재의 경제 환경이 주식시장에 이상적인 환경을 만들 수 있다""고 말했다.    그는 ""당분간 시장이 안정적인 경제 환경으로 순탄하게 전환되는 상황에 긍정적으로 반응할 수 있다""고 말했다.    유럽증시는 일제히 하락 중이다.    독일 DAX지수는 0.97% 하락 중이며, 영국 FTSE지수는 0.22% 떨어지고 있다. 프랑스 CAC 지수는 0.89% 밀리고 있고, 범유럽지수인 STOXX600 지수는 0.66% 하락하고 있다.    국제유가도 하락 중이다.    9월물 서부텍사스산원유(WTI) 가격은 전장보다 1.05% 하락한 배럴당 80.94달러에, 9월물 브렌트유 가격은 전장보다 0.97% 떨어진 배럴당 84.60달러를 기록했다.    NYSE 오프닝벨에 참석한 도널드 트럼프 주니어와 일행들[연합뉴스 자료사진]",0
"스웨덴, '쿠란 소각' 보복우려 국경통제 강화…경찰 검문도 확대",20230801,세계,"덴마크처럼 '쿠란 소각 시위' 원천 차단 방안도 검토 방침    울프 크리스테르손 스웨덴 신임 총리[나토 제공. 재판매 및 DB 금지]  스웨덴이 1일(현지시간) 자국 내 '쿠란 소각 시위'에 따른 보복 위협에 국경통제를 강화하기로 했다.     울프 크리스테르손 스웨덴 총리는 이날 기자회견에서 오는 20일께 구체적인 국경통제 강화 방안을 결정할 계획이라고 밝혔다고 dpa, AFP 통신 등 외신이 전했다.    크리스테르손 총리는 ""스웨덴과 연결고리가 적은 이들이 스웨덴에 범죄를 저지르기 위해 입국해선 안 된다""고 강조했다.    특히 다른 솅겐 조약 가입국에서 스웨덴으로 유입되는 여행객에 대한 통제 강화를 예고했다.    원칙적으로는 스웨덴 역시 솅겐 조약 가입국이어서 통상 솅겐 역내 국경에서는 여권 검사나 같은 국경 통과 절차가 면제되지만, 이를 강화하겠다는 의미다.     이와 함께 차량 검문 등 경찰 권한도 확대된다.     군나르 스트롬메르 스웨덴 법무장관은 ""(솅겐) 역내 국경 통제는 우리나라 안보를 위협할 수 있는 여행객 입국을 식별하는 것을 가능하게 할 것""이라고 설명했다.     이는 최근 스웨덴 내에서 잇달아 벌어진 이슬람 경전인 쿠란 소각 시위를 명분 삼아 이슬람 극단주의자들이 스웨덴을 대상으로 한 보복성 공격 등 위협을 가할 수 있다는 우려에 따른 것이다.     스웨덴 정부는 앞서 지난주에는 각 내각 부처에 대테러 대비 태세 강화도 지시한 바 있다.     크리스테르손 총리는 이날 쿠란 소각 시위 자체를 사전에 금지할 가능성도 열어놨다.     그는 ""공공집회 허가 절차를 더 확대함으로써 더 넓은 안보 관점에서 살펴볼 수 있도록 할 것""이라고 말했다.    이는 표현의 자유와 집회·시위의 자유 보장을 위해 시위 자체를 막을 수 없다던 기존 입장과는 다소 차이가 있다.     앞서 지난달 30일 덴마크 외교부도 다른 나라 대사관 앞에서 쿠란을 소각하는 시위를 막을 법적 방법을 찾겠다고 예고한 바 있다.",0
태양계 밖 탐사선 보이저2호와 교신 끊겼다가 미세 신호 감지(종합),20230801,세계,"명령 실수로 안테나 2도 틀어진지 2주만에…""심장 박동 신호""    성간우주로 진입한 '보이저2호' 상상도[NASA 제공](서울·샌프란시스코=연합뉴스) 최재서 기자  태양계 밖 성간우주를 비행 중인 보이저2호의 소식이 영영 끊길 수도 있는 아슬아슬한 상황이 이어지고 있다.    1일(현지시간) 영국 일간 가디언과 AP 통신 등에 따르면 미국 항공우주국(NASA)이 우주 깊숙이 질주하던 보이저2호와 교신이 끊겼다가 이 우주선으로부터 미세한 신호를 포착했다.    관제사의 잘못된 명령으로 보이저2호의 안테나가 지구로부터 방향을 튼 지 2주 만이다.    안테나가 2도가량 기울었을 뿐이지만, 보이저2호와 교신이 끊기면서 정상적인 교신이 이뤄지지 못했다.    이에 나사는 전날 호주 캔버라에 위치한 대형 안테나를 통해 혹시 모를 보이저2호의 신호를 포착하기 위해 노력해 왔다.    이에 다행히도 보이저2호로부터 미세 신호가 감지됐다.     보이저 1,2호 프로젝트 매니저인 수잔 도드는 이날 대형 안테나인 딥 스페이스 네트워크(Deep Space Network)가 보이저2호로부터 ""심장 박동 신호""를 수신했다고 밝혔다.    도드는 ""그 소식은 우리를 기쁘게 했다""며 이에 나사의 무인 탐사 우주선 연구소인 제트 추진 연구소 비행 관제사들이 보이저 2호의 안테나를 지구를 향해 돌려놓으려고 시도하고 있다고 설명했다.    그러나 이 작업이 모두 실패한다면 오는 10월 자동 재설정을 통한 교신 복원을 기다리는 수밖에 없다.    도드는 ""그 때까지 기다리기에는 시간이 오래 걸리므로 여러 번 명령을 전송하려고 한다""고 덧붙였다.     보이저2호는 1977년 미국 플로리다주에서 발사돼 2018년 성간우주에 진입, 190억㎞ 밖까지 비행한 상태였다.    가디언에 따르면 이 정도 거리에서는 지구까지 신호를 보내는 데만 18시간 이상이 걸린다.    다행히 보이저2호의 쌍둥이 탐사선 보이저1호와는 여전히 교신이 이어지고 있다.    보이저1호는 240억㎞ 거리까지 날아가 인류 역사상 가장 먼 우주에 진입한 탐사선으로 기록되고 있다.",5
한-우즈베키스탄 국방장관회담,20230801,정치,이종섭 국방부 장관(두번째 줄 왼쪽)이 1일(현지시간) 우즈베키스탄 국방부 청사에서 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 '한-우즈베키스탄 국방장관회담'을 마친 뒤 '군용광학제품 생산시설 설립 및 협력에 대한 양해각서' 체결식에 참석해 기념촬영을 하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
우즈베키스탄 사관생도 격려하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트에 위치한 군사아카데미를 방문해 한국어 수업을 받고 있는 사관생도들을 격려하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
NSC 사무총장과 악수하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트 힐튼호텔에서 빅토르 마흐무도프 국가안전보장회의(NSC) 사무총장과 회담에 앞서 기념촬영을 하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
"이종섭 장관, 우즈베키스탄 군사아카데미 방문",20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 타슈켄트에 위치한 군사아카데미를 방문해 관계자로부터 군사훈련 교육에 대한 설명을 듣고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
우즈베키스탄 의장대 사열하는 이종섭 장관,20230801,정치,이종섭 국방부 장관이 1일(현지시간) 우즈베키스탄 국방부 청사에서 '한-우즈베키스탄 국방장관회담' 개최를 앞두고 바코디르 쿠르바노프 우즈베키스탄 국방부 장관과 의장대를 사열하고 있다. 2023.8.1 [국방부 제공. 재판매 및 DB 금지],0
